model,k,S,seed,auroc,bal_acc,pos_rate,dt_cv,seconds
lti,16,24,1,0.7800256586696096,0.7069199675994623,0.0399882011115551,,125.88077187538147
lti,16,24,2,0.7640165315357342,0.6921421805121462,0.0412190742790699,,126.18443965911865
lti,16,32,0,0.8455453299409985,0.7642585573752598,0.042327880859375,,91.34762191772461
lti,16,32,1,0.8684705525695312,0.7883826692958056,0.0399882011115551,,135.09530234336853
lti,16,32,2,0.9161192920920785,0.8463932506830212,0.0412190742790699,,136.90037274360657
lti,16,48,0,0.9119368033141624,0.8309869281756026,0.042327880859375,,110.2403814792633
lti,16,48,1,0.9146490685408781,0.8359307446498845,0.0399882011115551,,162.6318027973175
lti,16,48,2,0.8890830787841077,0.8056850302264593,0.0412190742790699,,163.64649891853333
lti,16,64,0,0.9634019305227737,0.9031339375637735,0.042327880859375,,131.14554524421692
lti,16,64,1,0.9607219319912984,0.9018594029623619,0.0399882011115551,,191.3879897594452
lti,16,64,2,0.9389185417271435,0.8660372966652296,0.0412190742790699,,191.6234471797943
selective,3,2,0,0.6553288350766756,0.6070339299292722,0.03261878713965416,,59.465153217315674
selective,3,2,1,0.642711241489894,0.599950084871363,0.03198642283678055,0.08534330874681473,84.79615879058838
selective,3,2,2,0.6285745037682412,0.5828971720856801,0.031762294471263885,0.3758828043937683,88.74703121185303
selective,3,4,0,0.7517926290719055,0.6820447454314904,0.03261878713965416,,62.35452675819397
selective,3,4,1,0.7072338852264761,0.6478313187331479,0.03198642283678055,0.03635035827755928,88.79134035110474
selective,3,4,2,0.7037066413917157,0.6440790877282814,0.031762294471263885,0.14250008761882782,93.46304249763489
selective,3,8,0,0.8316603525684679,0.7540249125858374,0.03261878713965416,,66.40489530563354
selective,3,8,1,0.971844868551282,0.93672996914488,0.03198642283678055,0.03972781077027321,99.02780032157898
selective,3,8,2,0.854970782713427,0.7736541805342209,0.031762294471263885,0.009823453612625599,96.01738286018372
selective,3,12,0,0.983748748352648,0.9543127296717369,0.03261878713965416,,85.07690238952637
selective,3,12,1,0.9890437645994488,0.9679706829510024,0.03198642283678055,0.015874670818448067,162.76841950416565
selective,3,12,2,0.9928030123094544,0.9723152948455368,0.031762294471263885,0.005222715437412262,153.54454493522644
selective,3,16,0,0.9904279208747188,0.9658981161466811,0.03261878713965416,,80.95002698898315
selective,3,16,1,0.9965577657172934,0.984675592802474,0.03198642283678055,0.008341326378285885,180.55011701583862
selective,3,16,2,0.9958844511882093,0.9800012534135518,0.031762294471263885,0.006687910296022892,156.65209007263184
selective,3,24,0,0.99939492885922,0.9939337152436725,0.03261878713965416,,132.32832527160645
selective,3,24,1,0.9994589237469533,0.994933643000325,0.03198642283678055,0.005745235830545425,195.69733810424805
selective,3,24,2,0.9993612070339168,0.9943580389144906,0.031762294471263885,0.008181937970221043,220.17913460731506
selective,3,32,0,0.999190165571021,0.9937227151030057,0.03261878713965416,,169.05820846557617
selective,3,32,1,0.9998197785156572,0.9972398555403881,0.03198642283678055,0.007545199245214462,237.4576394557953
selective,3,32,2,0.9998641392215768,0.9977742575524834,0.031762294471263885,0.009024540893733501,230.8017919063568
selective,3,48,0,0.9999321510049297,0.9986182737137583,0.03261878713965416,,193.74004316329956
selective,3,48,1,0.9999423066105169,0.9985816282991555,0.03198642283678055,0.010255412198603153,275.28743600845337
selective,3,48,2,0.9999606037286386,0.9988696609916368,0.031762294471263885,0.012680262327194214,278.35584831237793
selective,3,64,0,0.9999677344666408,0.9991491432653137,0.03261878713965416,,248.22478771209717
selective,3,64,1,0.9999746691255142,0.9996030827241755,0.03198642283678055,0.015076344832777977,321.76243901252747
selective,3,64,2,0.9999599266019692,0.9989564665471924,0.031762294471263885,0.01501413807272911,313.7582428455353
selective,4,2,0,0.6034674329031849,0.5712633260817261,0.03382975235581398,,58.846081495285034
selective,4,2,1,0.6157951907332929,0.5777082685996983,0.0352376289665699,0.11953727900981903,86.5126736164093
selective,4,2,2,0.6142822038664104,0.575853521718767,0.03481445461511612,0.0977763906121254,92.67185282707214
selective,4,4,0,0.6967678260365425,0.6394587082404146,0.03382975235581398,,64.42813634872437
selective,4,4,1,0.6673651503005427,0.6151050852146267,0.0352376289665699,0.03693433105945587,90.82296800613403
selective,4,4,2,0.6597019765226712,0.6117938960843334,0.03481445461511612,0.04764685779809952,95.14105892181396
selective,4,8,0,0.773700220734234,0.7043410527033196,0.03382975235581398,,65.66815137863159
selective,4,8,1,0.8075808942348995,0.7297318639488117,0.0352376289665699,0.010389748960733414,103.395672082901
selective,4,8,2,0.7936850233220762,0.7197766674606287,0.03481445461511612,0.01078860741108656,104.57461929321289
selective,4,12,0,0.977177623416228,0.9441800323059818,0.03382975235581398,,70.49868059158325
selective,4,12,1,0.9777044776032174,0.9464539377368764,0.0352376289665699,0.007116243243217468,127.26618885993958
selective,4,12,2,0.9868299213971173,0.9651878583723852,0.03481445461511612,0.0034630915615707636,173.13782477378845
selective,4,16,0,0.9826811159784283,0.9506576379476609,0.03382975235581398,,75.71030926704407
selective,4,16,1,0.9953825721307212,0.982065362545695,0.0352376289665699,0.010313674807548523,171.8382863998413
selective,4,16,2,0.9898520033597898,0.9674471264849807,0.03481445461511612,0.009356103837490082,135.34106183052063
selective,4,24,0,0.9975416301229852,0.98568754711186,0.03382975235581398,,122.42548489570618
selective,4,24,1,0.9988473695335185,0.9920633170439968,0.0352376289665699,0.0037401150912046432,188.3047125339508
selective,4,24,2,0.9983778508323858,0.9905441698735571,0.03481445461511612,0.006444641854614019,206.93512058258057
selective,4,32,0,0.9985739836579554,0.9902463867195705,0.03382975235581398,,158.16995692253113
selective,4,32,1,0.9994819133817695,0.994115130576062,0.0352376289665699,0.006147952284663916,224.12778639793396
selective,4,32,2,0.9995529932439743,0.9951562337510633,0.03481445461511612,0.006366405636072159,230.41047406196594
selective,4,48,0,0.9998115480006301,0.9970986310537728,0.03382975235581398,,201.97369122505188
selective,4,48,1,0.9999049601468086,0.9976353805558504,0.0352376289665699,0.007044462952762842,240.7527196407318
selective,4,48,2,0.9998707889881117,0.9972889752337499,0.03481445461511612,0.007636490743607283,260.1135993003845
selective,4,64,0,0.9998986488220405,0.9981375170996933,0.03382975235581398,,214.44627404212952
selective,4,64,1,0.9999535164609314,0.9988791332527471,0.0352376289665699,0.00961142498999834,286.8629801273346
selective,4,64,2,0.9998900566226427,0.9982761892267449,0.03481445461511612,0.011108532547950745,296.1150891780853
selective,5,2,0,0.5802098908971299,0.5550602589858487,0.040485963225364685,,55.49562120437622
selective,5,2,1,0.5959599108275386,0.5658075873329547,0.040808726102113724,0.08610578626394272,91.42653584480286
selective,5,2,2,0.5895241113321017,0.5568119480551696,0.041950806975364685,0.14871717989444733,79.76248526573181
selective,5,4,0,0.6747448633805712,0.6247386819048565,0.040485963225364685,,57.27607989311218
selective,5,4,1,0.6327370954257318,0.5911503564331737,0.040808726102113724,0.08946781605482101,92.19226050376892
selective,5,4,2,0.6655261747651933,0.6186518906415226,0.041950806975364685,0.03117106296122074,91.5928566455841
selective,5,8,0,0.744194079789487,0.6773166993218784,0.040485963225364685,,63.78504276275635
selective,5,8,1,0.8078339192521056,0.7312246400347224,0.040808726102113724,0.009599960409104824,92.22101950645447
selective,5,8,2,0.7543327578070724,0.6881330547235927,0.041950806975364685,0.008695246651768684,102.55498123168945
selective,5,12,0,0.843439927410504,0.7637975016259433,0.040485963225364685,,66.29425001144409
selective,5,12,1,0.9759973385211584,0.9457976639693674,0.040808726102113724,0.016240624710917473,112.621164560318
selective,5,12,2,0.8968793267900852,0.8215198678202281,0.041950806975364685,0.006059571634978056,105.9317147731781
selective,5,16,0,0.900997543136686,0.8218968886125582,0.040485963225364685,,73.62045788764954
selective,5,16,1,0.9863268487741859,0.9609032478856795,0.040808726102113724,0.007605326361954212,136.51411533355713
selective,5,16,2,0.9312101927174844,0.8629884929609051,0.041950806975364685,0.006435601972043514,109.130526304245
selective,5,24,0,0.9923753489377806,0.9720428814577027,0.040485963225364685,,124.41062593460083
selective,5,24,1,0.9965222733754632,0.9835911863471911,0.040808726102113724,0.004561185836791992,171.85761046409607
selective,5,24,2,0.9979063625457708,0.9880975605074256,0.041950806975364685,0.0060247816145420074,178.57955598831177
selective,5,32,0,0.9961720215477851,0.9815012163366988,0.040485963225364685,,142.69264101982117
selective,5,32,1,0.9987152372020603,0.9907546078751807,0.040808726102113724,0.003905084216967225,203.99733877182007
selective,5,32,2,0.9990719707847535,0.9923742402613941,0.041950806975364685,0.004883508197963238,203.3389220237732
selective,5,48,0,0.99960122605498,0.9957107152584492,0.040485963225364685,,182.82935547828674
selective,5,48,1,0.9997139374280944,0.996606880265128,0.040808726102113724,0.00571585213765502,240.64899969100952
selective,5,48,2,0.9997933802776455,0.9972680721394224,0.041950806975364685,0.005029598716646433,239.12401151657104
selective,5,64,0,0.9997835443262939,0.9972020024455088,0.040485963225364685,,211.3349289894104
selective,5,64,1,0.9999258645329043,0.9978471432353828,0.040808726102113724,0.010056368075311184,280.2850182056427
selective,5,64,2,0.999844397429925,0.9974861369362569,0.041950806975364685,0.0076040588319301605,277.46375703811646
selective,6,2,0,0.5770716119786482,0.5557975968648093,0.04317079856991768,,57.80381536483765
selective,6,2,1,0.5824646553039664,0.5551869671073523,0.04093143716454506,0.08957082033157349,86.70903515815735
selective,6,2,2,0.5773781897620409,0.5520558992362055,0.04166385903954506,0.17831267416477203,86.47774124145508
selective,6,4,0,0.6642502698154664,0.616335693759981,0.04317079856991768,,62.47602844238281
selective,6,4,1,0.6232825802546881,0.585873592481829,0.04093143716454506,0.06610438972711563,96.80329942703247
selective,6,4,2,0.6436058407608087,0.6017812042565356,0.04166385903954506,0.038303084671497345,92.419837474823
selective,6,8,0,0.7173755824291534,0.6571903701093493,0.04317079856991768,,67.0041971206665
